"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7168","Data Set Flow Validation","newCompanySanity","2026-09-24","failed","2026-09-24","","TC_A_03_Reviewer_Flow","",""
"","0","Data Set Flow Validation","newCompanySanity","2026-09-24","broken","2026-09-24","","TC_A_01_companyAdmin_Flow","",""
"","2248","Data Set Flow Validation","newCompanySanity","2026-09-24","failed","2026-09-24","","TC_A_04_Validate_File_Status","",""
"","198688","Super User Create Company and Provision 2 Annotators and 1 Reviewer","newCompanySanity","2026-09-24","passed","2026-09-24","","TC_A_00_All_Create_New_Company","",""
"","7177","Data Set Flow Validation","newCompanySanity","2026-09-24","failed","2026-09-24","","TC_A_02_Annotator_Flow","",""
