"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28934","Verify dataset company name matches environment company_Name after switching role to Super User","datasets","2026-09-24","passed","2026-09-24","","TC_14_Switch_Role_Validate_Company_Name","",""
"","30005","Verify searching for dataset in popup, linking file, and verifying association across tabs","datasets","2026-09-24","passed","2026-09-24","","TC_11_Search_Dataset_In_Add_To_Dataset_Popup","",""
"","18699","Dataset Pagination Check","datasets","2026-09-24","passed","2026-09-24","","TC_04_Pagination_Controls","",""
"","57351","Dataset Files Add Delete Functionality","datasets","2026-09-24","failed","2026-09-24","","TC_06_Add_Files_Dataset","",""
"","12288","Search Dataset Name","datasets","2026-09-24","passed","2026-09-24","","TC_05_Search_Dataset_Names","",""
"","51071","Verify Creation and Deletion of Single and Multiple Datasets","datasets","2026-09-24","passed","2026-09-24","","TC_07_Delete_Single_Multiple_Dataset","",""
"","14665","Invalid Dataset Creation","datasets","2026-09-24","passed","2026-09-24","","TC_02_Invalid_Dataset_Creation","",""
"","31744","Verify creating datasets, template, workflow, project, and preventing incompatible dataset addition in project session","datasets","2026-09-24","broken","2026-09-24","","TC_12_Prevent_Add_Incompatible_Dataset_To_Project","",""
"","16508","Invalid Dataset Creation","datasets","2026-09-24","passed","2026-09-24","","TC_03_Invalid_Naming_Convention","",""
"","18449","Verify file deletion is blocked while dataset is linked to project and succeeds after unlinking","datasets","2026-09-24","failed","2026-09-24","","TC_13_Prevent_Delete_File_Linked_To_Project","",""
"","31659","Verify creation of dataset, uploading a file, and deleting the file","datasets","2026-09-24","passed","2026-09-24","","TC_08_Delete_Files_From_Dataset","",""
"","47706","Verify prevention of deleting a dataset linked to an active project","datasets","2026-09-24","broken","2026-09-24","","TC_09_Prevent_Delete_Dataset_In_Project","",""
"","118775","Valid Dataset Creation","datasets","2026-09-24","failed","2026-09-24","","TC_01_Valid_Dataset_Creation","",""
"","100219","Verify creation, file upload, files tab validation, and deletion of all dataset types","datasets","2026-09-24","broken","2026-09-24","","TC_10_All_Dataset_Types_Lifecycle","",""
